salmon.id,Tag,FieldLength_mm,LabLength_mm,fish_mass,FultonCondition,PBTHatcheryAssignment,Year,otolith.width.mic,oe_ow,oe.julian.day,cap.julian.day,oceanres.d,ocean.growth,Basin,Station.Code,Sample.Date,Otolith_Category
42538,YES,161,157,44.2,1.059118731,Rapid River,2019,2490.26,2406.973712,105,139,34,2.449596706,Snake,051919MC2,5/19/2019,4
40894,NO,134,129,23.1,0.960058268,Wild,2018,2120.08,2035.873705,111,145,34,2.476655735,Wild,052518MC12,5/25/2018,4
44666,NO,179,175,68.4,1.192606078,Wild,2021,2599.1,2374.218,107,143,36.271,6.2,Wild,052321MC9,5/23/2021,4
44468,YES,152,151,41.6,1.184574967,Carson,2021,2283.5,2129.405,107,143,36.197,4.257,Mid,052321MC3,5/23/2021,4
40824,YES,166,163,48.2,1.053714075,Sawtooth,2018,2314.01,2195.725125,110,145,35,3.379567857,Snake,052518MC10,5/25/2018,4
37467,NO,130,128,22.3,1.015020448,Wild,2016,1893.62,1807.094296,114,149,35,2.472162971,Wild,052816MC34,5/28/2016,4
45644,YES,160,155,49.3,1.203613263,Carson,2021,2452.7,2284.274,109,146,37.369,4.507,Mid,052621MC27,5/26/2021,4
40503,YES,161,157,43,1.030364358,Dworshak,2018,2463.7,2362.300774,108,144,36,2.816645167,Snake,052418MC3,5/24/2018,4
39906,YES,154,150,40,1.09521108,Little White Salmon,2017,2324.3,2195.776393,108,144,36,3.570100194,Mid,052417MC14,5/24/2017,4
39854,YES,156,151,43.4,1.143183506,Carson,2017,2392.3,2222.157974,108,144,36,4.726167389,Mid,052417MC10,5/24/2017,4
44981,YES,152,150,44.9,1.278543745,Carson,2021,2294.5,2071.142,106,144,37.565,5.946,Mid,052421MC15,5/24/2021,4
45216,NO,190,182,76.7,1.118238766,Wild,2021,2758.7,2552.365,107,145,38.172,5.405,Wild,052521MC20,5/25/2021,4
36819,YES,168,164,50,1.054489256,Dworshak,2016,2159.51,1972.753171,109,146,37,5.047481865,Snake,052516MC9,5/25/2016,4
41111,YES,142,137,29.1,1.016314125,Sawtooth,2018,2207.12,2148.523894,108,146,38,1.542002789,Snake,052618MC21,5/26/2018,4
38538,YES,152,146,36.7,1.045045765,Sawtooth,2016,2297.83,2144.974352,113,151,38,4.022517053,Snake,053016MC50,5/30/2016,4
44973,YES,157,152,37.8,0.976771173,Dworshak,2021,2422.1,2227.368,105,144,39.147,4.974,Snake,052421MC15,5/24/2021,4
SBS299,YES,159,155,45,1.119492377,Sawtooth,2018,2578.58,2407.953524,107,146,39,4.375037846,Snake,052618SBSMC21,5/26/2018,4
37712,YES,158,151,45.3,1.148489248,Rapid River,2016,2499.63,2379.799125,111,150,39,3.072586538,Snake,052916MC38,5/29/2016,4
45798,YES,167,162,49.1,1.054221976,Clearwater,2021,2623.5,2473.82,106,146,40.496,3.696,Snake,052621MC30,5/26/2021,4
40860,YES,156,153,40.7,1.072063777,Dworshak,2018,2398.39,2197.148154,105,145,40,5.03104615,Snake,052518MC12,5/25/2018,4
38340,YES,160,153,44.4,1.083984412,Lookingglass,2016,2401.14,2244.45876,109,151,42,3.730505714,Snake,053016MC47,5/30/2016,4
40506,YES,168,162,53,1.117758611,Rapid River,2018,2330.63,2190.708665,99,144,45,3.109363,Snake,052418MC3,5/24/2018,4
45650,YES,178,173,71,1.258920605,Cle Elum,2021,2667.4,2423.021,70,146,76.369,3.2,Mid,052621MC27,5/26/2021,4
45802,YES,174,165,57.5,1.091490851,Carson,2021,2365.5,2167.458,117,146,29.006,6.828,Mid,052621MC30,5/26/2021,4
44469,YES,158,156,48.2,1.222012882,Carson,2021,NA,NA,NA,NA,NA,NA,Mid,NA,NA,NA
